,0
0,0.0733419731259346
1,0.07021359354257584
2,0.06975437700748444
3,0.06884142011404037
4,0.06803014874458313
5,0.06794177740812302
6,0.07028593122959137
7,0.06808237731456757
8,0.06819736212491989
9,0.06842949241399765
10,0.0677226260304451
11,0.0657244399189949
12,0.06612029671669006
13,0.06452419608831406
14,0.061084214597940445
15,0.05733198672533035
16,0.05425023287534714
17,0.050858091562986374
18,0.04746095836162567
19,0.04257366433739662
20,0.038395341485738754
21,0.036081552505493164
22,0.03278835862874985
23,0.03149361535906792
24,0.029459984973073006
25,0.027932101860642433
26,0.02683218941092491
27,0.02500782534480095
28,0.02416723594069481
29,0.023934490978717804
30,0.024287136271595955
31,0.022800233215093613
32,0.021871620789170265
33,0.021520152688026428
34,0.02109941467642784
35,0.020898869261145592
36,0.02064824476838112
37,0.020818985998630524
38,0.02054574154317379
39,0.019896313548088074
40,0.019847210496664047
41,0.019611207768321037
42,0.01931738667190075
43,0.020524516701698303
44,0.019357431679964066
45,0.01919899508357048
46,0.019405735656619072
47,0.01899908110499382
